iso_code,country,2022_last_updated,2020_population,area_sq_km,density_sq_km,growth_rate,world_%,rank
KGZ,Kyrgyzstan,"6,667,634","6,424,874","199,951",33/sq_km,1.58%,0.08%,110
TKM,Turkmenistan,"6,461,356","6,250,438","488,100",13/sq_km,1.40%,0.08%,111
SLV,El Salvador,"6,345,259","6,292,731","21,041",301/sq_km,0.35%,0.08%,112
SGP,Singapore,"5,989,697","5,909,869",710,"8,416/sq_km",0.58%,0.07%,113
DNK,Denmark,"5,892,413","5,825,641","43,094",136/sq_km,0.48%,0.07%,115
SVK,Slovakia,"5,787,000","5,456,681","49,037",115/sq_km,3.59%,0.07%,116
CAF,Central African Republic,"5,634,661","5,343,020","622,984",9/sq_km,2.24%,0.07%,117
FIN,Finland,"5,542,416","5,529,468","338,424",16/sq_km,0.09%,0.07%,118
LBN,Lebanon,"5,444,503","5,662,923","10,452",525/sq_km,-1.84%,0.07%,119
NOR,Norway,"5,448,455","5,379,839","323,802",17/sq_km,0.58%,0.07%,120
LBR,Liberia,"5,342,648","5,087,584","111,369",48/sq_km,2.10%,0.07%,121
PSE,Palestine,"5,292,352","5,019,401","6,220",844/sq_km,2.27%,0.07%,122
NZL,New Zealand,"5,200,581","5,061,133","270,467",19/sq_km,1.08%,0.07%,123
CRI,Costa Rica,"5,190,596","5,123,105","51,100",101/sq_km,0.52%,0.06%,124
IRL,Ireland,"5,035,189","4,946,119","70,273",71/sq_km,0.73%,0.06%,125
MRT,Mauritania,"4,780,090","4,498,604","1,030,700",5/sq_km,2.63%,0.06%,126
OMN,Oman,"4,599,559","4,543,399","309,500",15/sq_km,1.23%,0.06%,127
PAN,Panama,"4,429,271","4,294,396","75,417",58/sq_km,1.32%,0.06%,128
KWT,Kuwait,"4,283,909","4,360,444","17,818",240/sq_km,0.44%,0.05%,129
HRV,Croatia,"4,022,776","4,096,869","56,594",71/sq_km,-0.73%,0.05%,130
GEO,Georgia,"3,738,088","3,765,912","69,700",54/sq_km,-0.36%,0.05%,131
ERI,Eritrea,"3,706,136","3,555,868","117,600",31/sq_km,1.76%,0.05%,132
URY,Uruguay,"3,422,923","3,429,086","181,034",19/sq_km,-0.10%,0.04%,133
MNG,Mongolia,"3,415,972","3,294,335","1,564,110",2/sq_km,1.51%,0.04%,134
MDA,Moldova,"3,431,065","3,084,847","33,846",97/sq_km,6.91%,0.04%,135
PRI,Puerto Rico,"3,254,720","3,271,564","8,870",367/sq_km,-0.11%,0.04%,136
ALB,Albania,"2,838,466","2,866,849","28,748",99/sq_km,-0.43%,0.04%,138
JAM,Jamaica,"2,826,220","2,820,436","10,991",257/sq_km,-0.01%,0.04%,139
ARM,Armenia,"2,778,413","2,805,608","29,743",93/sq_km,-0.38%,0.03%,140
LTU,Lithuania,"2,736,947","2,820,267","65,300",42/sq_km,-1.31%,0.03%,141
GMB,Gambia,"2,729,253","2,573,995","10,689",253/sq_km,2.50%,0.03%,142
QAT,Qatar,"2,702,704","2,760,385","11,586",233/sq_km,0.26%,0.03%,143
BWA,Botswana,"2,646,231","2,546,402","582,000",5/sq_km,1.62%,0.03%,144
NAM,Namibia,"2,579,478","2,489,098","825,615",3/sq_km,1.46%,0.03%,145
GAB,Gabon,"2,405,698","2,292,573","267,668",9/sq_km,2.04%,0.03%,146
LSO,Lesotho,"2,313,921","2,254,100","30,355",76/sq_km,1.07%,0.03%,147
SVN,Slovenia,"2,119,844","2,117,641","20,273",105/sq_km,0.02%,0.03%,148
GNB,Guinea Bissau,"2,121,373","2,015,828","36,125",58/sq_km,2.18%,0.03%,149
MKD,North Macedonia,"2,090,129","2,111,072","25,713",81/sq_km,-0.46%,0.03%,150
LVA,Latvia,"1,843,326","1,897,052","64,559",29/sq_km,-1.24%,0.02%,151
GNQ,Equatorial Guinea,"1,688,787","1,596,049","28,051",60/sq_km,2.47%,0.02%,152
BHR,Bahrain,"1,476,859","1,477,469",765,"1,924/sq_km",0.61%,0.02%,154
TLS,Timor Leste,"1,348,107","1,299,995","14,874",90/sq_km,1.54%,0.02%,155
EST,Estonia,"1,325,034","1,329,444","45,227",29/sq_km,-0.20%,0.02%,156
MUS,Mauritius,"1,299,726","1,297,828","2,040",637/sq_km,0.04%,0.02%,157
CYP,Cyprus,"1,254,572","1,237,537","9,251",135/sq_km,0.59%,0.02%,158
DJI,Djibouti,"1,126,246","1,090,156","23,200",48/sq_km,1.38%,0.01%,160
RU,Reunion,"976,751","957,822","2,511",388/sq_km,0.82%,0.01%,161
FJI,Fiji,"932,079","920,422","18,272",51/sq_km,0.56%,0.01%,162
COM,Comoros,"842,043","806,166","1,862",449/sq_km,1.84%,0.01%,163
GUY,Guyana,"810,140","797,202","214,969",4/sq_km,0.52%,0.01%,164
BTN,Bhutan,"784,126","772,506","38,394",20/sq_km,0.64%,0.01%,165
SLB,Solomon Islands,"729,928","691,191","28,896",25/sq_km,2.32%,0.01%,166
MAC,Macau,"698,381","676,283",30,"23,172/sq_km",1.25%,0.01%,167
LUX,Luxembourg,"650,169","630,399","2,586",250/sq_km,1.29%,0.01%,168
MNE,Montenegro,"626,825","629,048","13,812",45/sq_km,-0.12%,0.01%,169
SUR,Suriname,"619,582","607,065","163,820",4/sq_km,0.82%,0.01%,170
CPV,Cape Verde,"595,077","582,640","4,033",147/sq_km,0.89%,0.01%,171
ESH,Western Sahara,"579,970","556,048","266,000",2/sq_km,1.84%,0.01%,172
MLT,Malta,"533,800","515,358",316,"1,688/sq_km",1.24%,0.01%,173
MDV,Maldives,"523,016","514,438",300,"1,746/sq_km",0.45%,0.01%,174
BRN,Brunei,"450,287","441,725","5,765",78/sq_km,0.81%,0.01%,175
BHS,Bahamas,"411,012","406,471","13,943",29/sq_km,0.51%,0.01%,176
BLZ,Belize,"407,200","394,921","22,966",18/sq_km,1.31%,0.01%,177
ISL,Iceland,"373,799","366,669","103,000",4/sq_km,0.69%,0.00%,179
MTQ,Martinique,"367,378","370,391","1,128",326/sq_km,-0.35%,0.00%,180
VUT,Vanuatu,"329,439","311,685","12,189",27/sq_km,2.38%,0.00%,181
MYT,Mayotte,"329,442","305,587",374,872/sq_km,3.19%,0.00%,182
PYF,French Polynesia,"307,307","301,920","4,167",74/sq_km,0.74%,0.00%,183
NCL,New Caledonia,"290,978","286,403","18,575",16/sq_km,0.75%,0.00%,185
BRB,Barbados,"281,764","280,693",430,655/sq_km,0.15%,0.00%,186
WSM,Samoa,"223,539","214,929","2,842",78/sq_km,1.65%,0.00%,188
CUW,Curacao,"191,420","189,288",444,431/sq_km,0.43%,0.00%,189
LCA,Saint Lucia,"179,986","179,237",616,292/sq_km,0.11%,0.00%,190
GUM,Guam,"172,288","169,231",549,313/sq_km,0.73%,0.00%,191
KIR,Kiribati,"132,132","126,463",811,162/sq_km,1.83%,0.00%,192
GRD,Grenada,"125,567","123,663",344,365/sq_km,0.66%,0.00%,193
FSM,Micronesia,"114,421","112,106",702,163/sq_km,0.91%,0.00%,194
SYC,Seychelles,"107,118","105,530",452,237/sq_km,0.61%,0.00%,196
TON,Tonga,"107,244","105,254",747,143/sq_km,0.79%,0.00%,197
ABW,Aruba,"106,316","106,585",180,591/sq_km,-0.09%,0.00%,198
VIR,United States Virgin Islands,"99,208","100,442",347,287/sq_km,-0.63%,0.00%,200
AND,Andorra,"80,081","77,700",468,171/sq_km,1.00%,0.00%,203
DMA,Dominica,"72,866","71,995",751,97/sq_km,0.45%,0.00%,204
CYM,Cayman Islands,"68,963","67,311",264,260/sq_km,0.84%,0.00%,205
BMU,Bermuda,"64,055","64,031",54,"1,189/sq_km",0.00%,0.00%,206
GRL,Greenland,"56,595","56,026","2,166,086",0/sq_km,0.40%,0.00%,208
FRO,Faroe Islands,"53,090","52,415","1,393",38/sq_km,0.38%,0.00%,209
MNP,Northern Mariana Islands,"49,680","49,587",464,107/sq_km,0.14%,0.00%,210
ASM,American Samoa,"44,144","46,189",199,222/sq_km,-1.69%,0.00%,213
MAF,Sint Maarten,"44,175","43,621",34,"1,299/sq_km",0.30%,0.00%,214
MHL,Marshall Islands,"41,698","43,413",181,230/sq_km,-1.14%,0.00%,215
LIE,Liechtenstein,"39,327","38,756",160,246/sq_km,0.74%,0.00%,216
MCO,Monaco,"36,469","36,922",2,"18,235/sq_km",-0.59%,0.00%,217
SMR,San Marino,"33,660","34,007",61,552/sq_km,-0.25%,0.00%,218
GIB,Gibraltar,"32,649","32,709",6,"5,442/sq_km",-0.06%,0.00%,219
MAF,Saint Martin,"31,920","32,553",53,600/sq_km,-0.49%,0.00%,220
PLW,Palau,"18,055","17,972",459,39/sq_km,0.17%,0.00%,222
COK,Cook Islands,"17,140","17,029",236,72/sq_km,0.05%,0.00%,223
AIA,Anguilla,"15,857","15,585",91,174/sq_km,0.66%,0.00%,224
NRU,Nauru,"12,797","12,315",21,603/sq_km,1.25%,0.00%,225
TUV,Tuvalu,"11,441","11,069",26,435/sq_km,0.96%,0.00%,227
BL,Saint Barthelemy,"10,967","10,681",21,522/sq_km,0.98%,0.00%,228
MSR,Montserrat,"4,390","4,500",102,43/sq_km,-0.61%,0.00%,230
FLK,Falkland Islands,"3,780","3,747","12,173",0/sq_km,0.43%,0.00%,231
NIU,Niue,"1,934","1,942",260,7/sq_km,-0.15%,0.00%,232
TKL,Tokelau,"1,871","1,827",12,156/sq_km,1.19%,0.00%,233
VAT,Vatican City,510,520,1,510/sq_km,-0.20%,0.00%,234
