,Date,AveragePrice,Total Volume,4046,4225,4770,Total Bags,Small Bags,Large Bags,XLarge Bags,type,year,region
5,2/18/2018,1.56,11165.57,429.96,4037.32,0,6698.29,5920.95,777.34,0,organic,2018,Atlanta
6,2/11/2018,1.55,14843.93,384.86,3957.78,0,10501.29,7478.35,3022.94,0,organic,2018,Atlanta
7,2/4/2018,1.62,11900.41,384.29,4042.55,0,7473.57,5731.98,1741.59,0,organic,2018,Atlanta
8,1/28/2018,1.67,14446.26,390.17,5130.48,0,8925.61,5602.18,3323.43,0,organic,2018,Atlanta
9,1/21/2018,1.64,18554.97,349.05,3967.66,0,14238.26,6204.43,8033.83,0,organic,2018,Atlanta
10,1/14/2018,1.56,16151.7,291.55,3583.4,0,12276.75,7227.8,5048.95,0,organic,2018,Atlanta
11,1/7/2018,1.53,15714.11,405.37,4195.19,0,11113.55,7883.61,3229.94,0,organic,2018,Atlanta
0,3/25/2018,1.33,57606.42,2002.4,5548.18,82.68,49973.16,49957.61,15.55,0,organic,2018,BaltimoreWashington
1,3/18/2018,1.41,45505,2132.2,6130.5,76.41,37165.89,37157.4,8.49,0,organic,2018,BaltimoreWashington
2,3/11/2018,1.44,48044.77,1885.84,6874.81,96.69,39187.43,39177.43,10,0,organic,2018,BaltimoreWashington
3,3/4/2018,1.43,43300.77,2360.2,6371.68,93.52,34475.37,34475.37,0,0,organic,2018,BaltimoreWashington
4,2/25/2018,1.47,47421.15,1626.3,7913.27,49.45,37832.13,37822.13,10,0,organic,2018,BaltimoreWashington
5,2/18/2018,1.52,51564.7,2125.96,12402.09,79.77,36956.88,36927.99,28.89,0,organic,2018,BaltimoreWashington
6,2/11/2018,1.53,46355.69,1457.17,9060.57,68.22,35769.73,35769.73,0,0,organic,2018,BaltimoreWashington
7,2/4/2018,1.59,41615.66,1201.51,7408.22,85.69,32920.24,32904.68,15.56,0,organic,2018,BaltimoreWashington
8,1/28/2018,1.55,44059.08,1236.06,8807.18,147.27,33868.57,33859.68,8.89,0,organic,2018,BaltimoreWashington
9,1/21/2018,1.66,38098.21,1450.87,9262.48,65.08,27319.78,27315.34,4.44,0,organic,2018,BaltimoreWashington
10,1/14/2018,1.39,66149.27,1264.25,10025.87,105.72,54753.43,54746.77,6.66,0,organic,2018,BaltimoreWashington
11,1/7/2018,1.15,82282.71,1315.95,9962.1,134.19,70870.47,70863.8,6.67,0,organic,2018,BaltimoreWashington
0,3/25/2018,1.81,3119.2,76.12,1006.43,0,2036.65,618.64,1418.01,0,organic,2018,Boise
1,3/18/2018,1.85,2550.59,89.14,898.36,0,1563.09,287.9,1258.17,17.02,organic,2018,Boise
2,3/11/2018,1.8,3447.36,98.9,926.28,0,2422.18,664.03,1758.15,0,organic,2018,Boise
3,3/4/2018,1.79,2980.6,109.72,904.11,0,1966.77,526.56,1440.21,0,organic,2018,Boise
4,2/25/2018,1.82,2430.16,69.78,745.69,0,1614.69,472.96,1141.73,0,organic,2018,Boise
5,2/18/2018,1.82,2275.91,72.52,810.01,0,1393.38,725.39,667.99,0,organic,2018,Boise
6,2/11/2018,1.8,2855.33,46.25,791.61,0,2017.47,666.38,1351.09,0,organic,2018,Boise
7,2/4/2018,1.8,2594.9,76.84,590.46,0,1927.6,492.63,1376.55,58.42,organic,2018,Boise
8,1/28/2018,1.78,2419.64,52.42,580.64,0,1786.58,294.66,1490.43,1.49,organic,2018,Boise
9,1/21/2018,1.81,2446.13,41.05,577.32,0,1827.76,284.43,1541.86,1.47,organic,2018,Boise
10,1/14/2018,1.81,2130.13,51.93,802.89,0,1275.31,350.29,925.02,0,organic,2018,Boise
11,1/7/2018,1.77,2553.9,42.6,949.08,0,1562.22,552.06,1010.16,0,organic,2018,Boise
0,3/25/2018,1.74,38441.23,27.25,2031.54,0,36382.44,29466.95,6915.49,0,organic,2018,Boston
1,3/18/2018,1.83,34809.9,20.31,2456.48,0,32333.11,25094.65,7238.46,0,organic,2018,Boston
2,3/11/2018,1.85,30476.66,8.51,2114.28,0,28353.87,22732.95,5620.92,0,organic,2018,Boston
3,3/4/2018,1.92,23890.64,7.84,2254.05,0,21628.75,18636.4,2992.35,0,organic,2018,Boston
4,2/25/2018,1.79,31567.3,34.89,2390.82,0,29141.59,25069.34,4072.25,0,organic,2018,Boston
5,2/18/2018,1.83,27960.77,11.63,1603.22,0,26345.92,22938.29,3407.63,0,organic,2018,Boston
6,2/11/2018,1.85,24728.12,3.67,1795.79,3.67,22924.99,19367.62,3557.37,0,organic,2018,Boston
7,2/4/2018,1.83,28934.01,9.14,2504.27,3.66,26416.94,20660.94,5756,0,organic,2018,Boston
8,1/28/2018,1.72,30846.35,14.65,1628.45,0,29203.25,27876.23,1327.02,0,organic,2018,Boston
9,1/21/2018,1.82,26704.98,60.87,2647.48,0,23996.63,21985.03,2011.6,0,organic,2018,Boston
10,1/14/2018,1.73,29468.36,12.77,2380.23,0,27075.36,23926.76,3148.6,0,organic,2018,Boston
11,1/7/2018,1.91,30096,14.46,2704.48,0,27377.06,25121.53,2255.53,0,organic,2018,Boston
0,3/25/2018,1.03,38203.98,241.71,425.31,0,37536.96,25743.24,11793.72,0,organic,2018,BuffaloRochester
1,3/18/2018,1.17,16113.35,558.54,106.27,0,15448.54,4270.87,11177.67,0,organic,2018,BuffaloRochester
2,3/11/2018,1.24,12744.6,763.9,91.2,0,11889.5,1124.44,10765.06,0,organic,2018,BuffaloRochester
3,3/4/2018,1.38,8580.63,1197.38,159.65,0,7223.6,894.23,6329.37,0,organic,2018,BuffaloRochester
4,2/25/2018,1.27,11398.35,761.52,168.93,0,10467.9,2567.55,7900.35,0,organic,2018,BuffaloRochester
5,2/18/2018,1.23,12131.04,542.58,103.62,0,11484.84,5283.46,6201.38,0,organic,2018,BuffaloRochester
6,2/11/2018,1.21,9744.88,169.08,138.02,0,9437.78,2907.29,6530.49,0,organic,2018,BuffaloRochester
7,2/4/2018,1.18,14307.71,204.51,181.6,0,13921.6,4203.8,9717.8,0,organic,2018,BuffaloRochester
8,1/28/2018,1.17,13405.95,232.33,150.46,0,13023.16,11059.23,1963.93,0,organic,2018,BuffaloRochester
9,1/21/2018,1.23,7288.58,309.8,119.81,0,6858.97,3581.4,3277.57,0,organic,2018,BuffaloRochester
10,1/14/2018,1.19,10864.95,318.7,133.26,0,10412.99,3248.18,7164.81,0,organic,2018,BuffaloRochester
11,1/7/2018,1.17,9115.92,283.13,90.07,0,8742.72,4250.19,4492.53,0,organic,2018,BuffaloRochester
0,3/25/2018,1.7,190257.38,29644.09,70982.1,0,89631.19,89424.11,207.08,0,organic,2018,California
1,3/18/2018,1.75,202790.74,29398.11,70514.05,8.08,102870.5,102717.5,153,0,organic,2018,California
2,3/11/2018,1.58,236822.98,32765.76,83573,0,120484.22,120465.39,18.83,0,organic,2018,California
3,3/4/2018,1.57,239135.67,34245.39,67952.25,0,136938.03,136877.43,60.6,0,organic,2018,California
4,2/25/2018,1.82,179041.72,28991.22,83730.03,0,66320.47,66273.89,46.58,0,organic,2018,California
5,2/18/2018,1.97,167193.75,27895.41,73827.57,0,65470.77,65435.09,35.68,0,organic,2018,California
6,2/11/2018,1.85,168311.26,30354,56580.92,0,81376.34,81344.22,32.12,0,organic,2018,California
7,2/4/2018,1.56,188212.98,38078.53,60551.97,0,89582.48,89527.66,54.82,0,organic,2018,California
8,1/28/2018,1.87,170998.81,30070.62,58357.89,0,82570.3,82563.11,7.19,0,organic,2018,California
9,1/21/2018,1.69,181974.98,34411.37,64513.67,0,83049.94,83022.84,27.1,0,organic,2018,California
10,1/14/2018,1.61,216681.04,52253.4,95353.95,0,69073.69,69054.51,19.18,0,organic,2018,California
11,1/7/2018,1.95,156341.57,42992.91,56007.79,0,57340.87,57271.15,69.72,0,organic,2018,California
0,3/25/2018,1.77,12030.96,17.85,5964.29,161.23,5887.59,5792.37,95.22,0,organic,2018,Charlotte
1,3/18/2018,1.75,11986.57,30.26,5808.91,205.67,5941.73,5801.28,140.45,0,organic,2018,Charlotte
2,3/11/2018,1.73,13697.68,29.01,6861.78,222.69,6584.2,6511.53,72.67,0,organic,2018,Charlotte
3,3/4/2018,1.88,11882.61,31.41,6586.88,268.25,4996.07,4621.84,374.23,0,organic,2018,Charlotte
4,2/25/2018,1.91,11946.22,36.46,5987.21,190.71,5731.84,5667.58,64.26,0,organic,2018,Charlotte
5,2/18/2018,1.83,12417.57,22.67,5878.08,232.08,6284.74,5981.3,303.44,0,organic,2018,Charlotte
6,2/11/2018,1.92,11216.56,7.2,5645.05,238.86,5325.45,5176.75,148.7,0,organic,2018,Charlotte
7,2/4/2018,1.89,13273.93,26.28,5187.8,201.87,7857.98,7613.73,244.25,0,organic,2018,Charlotte
8,1/28/2018,1.76,12432.58,21.47,6626.86,271.36,5512.89,5080.46,432.43,0,organic,2018,Charlotte
9,1/21/2018,1.62,12422.7,8.94,5461.01,246.99,6705.76,6703.12,2.64,0,organic,2018,Charlotte
10,1/14/2018,1.45,19522.15,17.87,7132.92,241.85,12129.51,12116.18,13.33,0,organic,2018,Charlotte
11,1/7/2018,1.08,28741.11,22.16,6254.59,225.17,22239.19,22132.06,107.13,0,organic,2018,Charlotte
0,3/25/2018,1.69,35088.36,324.87,27550.29,0,7213.2,7176.54,36.66,0,organic,2018,Chicago
1,3/18/2018,1.66,35542.17,184.53,26955.74,0,8401.9,8398.57,3.33,0,organic,2018,Chicago
2,3/11/2018,1.66,41969.83,583.18,32382.95,0,9003.7,8990.36,13.34,0,organic,2018,Chicago
3,3/4/2018,1.62,46026.58,1107.05,35255.03,0,9664.5,9654.5,10,0,organic,2018,Chicago
4,2/25/2018,1.68,36432.65,246.73,29263.75,0,6922.17,6908.84,13.33,0,organic,2018,Chicago
5,2/18/2018,1.66,33678.58,259.18,24314.04,0,9105.36,9095.36,10,0,organic,2018,Chicago
6,2/11/2018,1.65,38202.17,409.68,26524.51,0,11267.98,11261.31,6.67,0,organic,2018,Chicago
7,2/4/2018,1.62,46956.84,313.29,32668.25,0,13975.3,13975.3,0,0,organic,2018,Chicago
8,1/28/2018,1.72,40770.94,215.4,31318.93,0,9236.61,9236.61,0,0,organic,2018,Chicago
9,1/21/2018,1.82,36688.67,83.93,28134.16,0,8470.58,8470.58,0,0,organic,2018,Chicago
10,1/14/2018,1.79,44955.89,133.39,31177.44,0,13645.06,13635.06,10,0,organic,2018,Chicago
11,1/7/2018,1.83,41573.25,118.84,29600.36,0,11854.05,11850.72,3.33,0,organic,2018,Chicago
0,3/25/2018,1.66,15502.38,728.9,4308.74,0,10464.74,7398.87,3065.87,0,organic,2018,CincinnatiDayton
1,3/18/2018,1.31,28721.72,932.06,10505.06,0,17284.6,8746,8538.6,0,organic,2018,CincinnatiDayton
2,3/11/2018,1.27,34517.3,1080.28,12488.67,0,20948.35,15617.99,5330.36,0,organic,2018,CincinnatiDayton
3,3/4/2018,1.68,11250.57,810.62,4420.73,0,6019.22,4449.27,1569.95,0,organic,2018,CincinnatiDayton
4,2/25/2018,1.78,15097.8,736.69,4538.31,0,9822.8,2275.92,7546.88,0,organic,2018,CincinnatiDayton
5,2/18/2018,1.64,9811.36,680.18,4321.38,0,4809.8,4698.48,111.32,0,organic,2018,CincinnatiDayton
6,2/11/2018,1.59,10754.39,535.84,3567.35,0,6651.2,5192.81,1458.39,0,organic,2018,CincinnatiDayton
7,2/4/2018,1.69,11196.3,628.58,4438.31,0,6129.41,4339.23,1790.18,0,organic,2018,CincinnatiDayton
8,1/28/2018,1.51,15027.47,702.32,4805.49,0,9519.66,3133.44,6386.22,0,organic,2018,CincinnatiDayton
9,1/21/2018,1.6,18364.37,678.73,5179.83,0,12505.81,2688.54,9817.27,0,organic,2018,CincinnatiDayton
10,1/14/2018,1.71,19434.36,610.29,5917.68,0,12906.39,4369.52,8536.87,0,organic,2018,CincinnatiDayton
11,1/7/2018,1.71,13141.82,710.55,5212.44,0,7218.83,3380.57,3838.26,0,organic,2018,CincinnatiDayton
0,3/25/2018,1.31,11125.08,533.97,1113.33,0,9477.78,7760.23,1717.55,0,organic,2018,Columbus
1,3/18/2018,1.2,32634.06,723.66,8582.89,0,23327.51,11776.03,11551.48,0,organic,2018,Columbus
2,3/11/2018,1.26,26620.79,820.89,10737.83,0,15062.07,12641.49,2420.58,0,organic,2018,Columbus
3,3/4/2018,1.48,7617.52,531.55,1246.43,0,5839.54,5689.68,149.86,0,organic,2018,Columbus
4,2/25/2018,1.57,7371.84,470.96,1510.35,0,5390.53,4640.71,749.82,0,organic,2018,Columbus
5,2/18/2018,1.44,7807.21,434.86,1521.43,0,5850.92,5850.92,0,0,organic,2018,Columbus
6,2/11/2018,1.42,8970.66,445.67,1117.03,0,7407.96,7086.27,321.69,0,organic,2018,Columbus
7,2/4/2018,1.47,7422.15,587.11,1186.62,0,5648.42,5453.09,195.33,0,organic,2018,Columbus
8,1/28/2018,1.43,7669.31,564.77,1557.33,0,5547.21,4090.06,1457.15,0,organic,2018,Columbus
9,1/21/2018,1.5,8977.97,613.65,1852.11,0,6512.21,4083.63,2428.58,0,organic,2018,Columbus
10,1/14/2018,1.3,10424.33,977,1620.14,0,7827.19,7350.79,476.4,0,organic,2018,Columbus
11,1/7/2018,1.15,12589.45,1639.81,1133.28,0,9816.36,9106.36,710,0,organic,2018,Columbus
0,3/25/2018,1.46,31489.27,5372.35,1047.92,0,25069,23054.17,2014.83,0,organic,2018,DallasFtWorth
1,3/18/2018,1.32,31122.09,5570.59,1317.02,0,24234.48,22630.41,1604.07,0,organic,2018,DallasFtWorth
2,3/11/2018,1.3,34357.21,6067.15,810.89,0,27479.17,25669.77,1809.4,0,organic,2018,DallasFtWorth
3,3/4/2018,1.38,28406.76,5610.19,618.5,0,22178.07,20545.89,1632.18,0,organic,2018,DallasFtWorth
4,2/25/2018,1.34,23520.36,3998.07,635.53,0,18886.76,17839.97,1046.79,0,organic,2018,DallasFtWorth
5,2/18/2018,1.36,25380.68,4546.52,787.2,0,20046.96,19653.07,393.89,0,organic,2018,DallasFtWorth
6,2/11/2018,1.34,28078.4,4681.33,437.65,0,22959.42,22690.02,269.4,0,organic,2018,DallasFtWorth
7,2/4/2018,1.37,28070.22,4977.37,561.14,0,22531.71,22281.2,250.51,0,organic,2018,DallasFtWorth
8,1/28/2018,1.45,26069.14,4936.84,476.06,0,20656.24,19613.2,1043.04,0,organic,2018,DallasFtWorth
9,1/21/2018,1.5,24032.87,4244.71,360.17,0,19427.99,17607.8,1820.19,0,organic,2018,DallasFtWorth
10,1/14/2018,1.54,25628.61,5179.65,577.3,0,19871.66,16878.39,2993.27,0,organic,2018,DallasFtWorth
11,1/7/2018,1.45,21286.58,4020.53,454.86,0,16811.19,14157.14,2654.05,0,organic,2018,DallasFtWorth
0,3/25/2018,1.6,24825.5,6516.4,685.92,44.09,17579.09,16514.58,1064.51,0,organic,2018,Denver
1,3/18/2018,1.67,21352.34,10539.17,797.06,33.21,9982.9,9087.45,895.45,0,organic,2018,Denver
2,3/11/2018,1.59,31590.9,7032.9,640.35,52.08,23865.57,23032.03,833.54,0,organic,2018,Denver
3,3/4/2018,1.55,24300.28,5776.81,588.5,10.66,17924.31,17177.3,747.01,0,organic,2018,Denver
4,2/25/2018,1.39,36823.42,8387.3,751.32,24.81,27659.99,26783.45,876.54,0,organic,2018,Denver
5,2/18/2018,1.35,36683.22,8065.46,597.63,49.7,27970.43,27804.78,165.65,0,organic,2018,Denver
6,2/11/2018,1.55,22388.13,5261.02,639.37,35.39,16452.35,16367.04,85.31,0,organic,2018,Denver
7,2/4/2018,1.51,16458.72,3746.88,496.84,23.49,12191.51,12101.76,89.75,0,organic,2018,Denver
8,1/28/2018,1.51,27513.73,6132.33,550.8,36.18,20794.42,20366.98,427.44,0,organic,2018,Denver
9,1/21/2018,1.55,30143.3,7841.79,687.2,32.61,21581.7,20613.26,968.44,0,organic,2018,Denver
10,1/14/2018,1.53,36501.82,8395.91,839.11,53.61,27213.19,25789.59,1423.6,0,organic,2018,Denver
11,1/7/2018,1.38,39706.28,8896.86,939.38,22.09,29847.95,28597.18,1250.77,0,organic,2018,Denver
0,3/25/2018,1.43,20507.49,687.46,2729.79,0,16887,13920.18,2966.82,0,organic,2018,Detroit
1,3/18/2018,1.2,63356.5,1452.72,18641.57,0,43210.85,22871.48,20339.37,0,organic,2018,Detroit
2,3/11/2018,1.23,52514.65,1549.8,20242.92,0,30687.37,27074.68,3612.69,0,organic,2018,Detroit
3,3/4/2018,1.16,24533.53,676.16,2624.4,0,21232.97,20853.85,379.12,0,organic,2018,Detroit
4,2/25/2018,1.45,15973.44,601.22,2864.17,0,12410.38,10325.46,2084.92,0,organic,2018,Detroit
5,2/18/2018,1.34,14647.97,577.71,2469.69,1.41,11579.79,11571.98,7.81,0,organic,2018,Detroit
6,2/11/2018,1.36,16655.03,606.28,2464.24,0,13547.38,12740.25,807.13,0,organic,2018,Detroit
7,2/4/2018,1.32,17541.66,580.19,2434.85,0,14480.83,13820.72,660.11,0,organic,2018,Detroit
8,1/28/2018,1.29,20073.36,738.01,3026.96,0,16298.93,12972.63,3326.3,0,organic,2018,Detroit
9,1/21/2018,1.41,22121.43,826.25,3379.62,0,17890.6,11215.49,6675.11,0,organic,2018,Detroit
10,1/14/2018,1.32,20636.96,750.22,3266.56,0,16598.98,15422.79,1176.19,0,organic,2018,Detroit
11,1/7/2018,1.22,23120.43,1649.74,3006.89,0,18452.29,16829.87,1622.42,0,organic,2018,Detroit
0,3/25/2018,1.34,8539.23,73.78,1301.09,0,7164.36,7162.69,1.67,0,organic,2018,GrandRapids
1,3/18/2018,1.33,9211.25,4.48,1362.75,0,7844.02,7815.81,28.21,0,organic,2018,GrandRapids
2,3/11/2018,1.32,8381.09,35.72,1201.8,0,7143.57,7143.57,0,0,organic,2018,GrandRapids
3,3/4/2018,1.01,17987.77,78.5,7765.2,0,10144.07,10144.07,0,0,organic,2018,GrandRapids
4,2/25/2018,1.34,7115.37,10.15,1084.45,0,6020.77,6007.44,13.33,0,organic,2018,GrandRapids
5,2/18/2018,1.29,7658.93,5.81,858.31,0,6794.81,6794.81,0,0,organic,2018,GrandRapids
6,2/11/2018,1.25,8859.53,11.55,2034.77,0,6813.21,6813.21,0,0,organic,2018,GrandRapids
7,2/4/2018,1.21,8320.22,15.77,626.63,0,7677.82,7677.82,0,0,organic,2018,GrandRapids
8,1/28/2018,1.26,8251.66,45.63,737.22,0,7468.81,7468.81,0,0,organic,2018,GrandRapids
9,1/21/2018,1.31,8566.64,4.26,1118.8,0,7443.58,7418.31,25.27,0,organic,2018,GrandRapids
10,1/14/2018,1.32,10308.41,14.16,1519.63,0,8774.62,8744.72,29.9,0,organic,2018,GrandRapids
11,1/7/2018,1.25,11449.3,12.71,3013.06,0,8423.53,8423.53,0,0,organic,2018,GrandRapids
0,3/25/2018,1.47,182492.41,5140.14,51115.63,0,125061.81,102033.82,23027.99,0,organic,2018,GreatLakes
1,3/18/2018,1.3,320320.99,6924.59,101003.84,4.97,212031.79,138687.27,73344.52,0,organic,2018,GreatLakes
2,3/11/2018,1.31,324172.31,7730.19,117026.23,0,199137.6,158988.83,40148.77,0,organic,2018,GreatLakes
3,3/4/2018,1.33,222950.32,6008.33,68134.36,0,147949.04,119193.36,28755.68,0,organic,2018,GreatLakes
4,2/25/2018,1.49,176612.49,4528.42,51477.74,0,119576.4,86332.21,33244.19,0,organic,2018,GreatLakes
5,2/18/2018,1.45,157146.89,4271.27,44540.75,1.63,108112.62,98871.98,9240.64,0,organic,2018,GreatLakes
6,2/11/2018,1.44,175088.87,4475.83,46711.13,1.63,123641.16,109613.32,14027.84,0,organic,2018,GreatLakes
7,2/4/2018,1.45,185270.31,4670.38,53564.29,0,126791.01,114470.1,12320.91,0,organic,2018,GreatLakes
8,1/28/2018,1.42,200318.01,4791.32,53866.78,0,141507.43,101734.66,39772.77,0,organic,2018,GreatLakes
9,1/21/2018,1.41,235021.5,5114.24,53205.28,0,176491.02,89986.79,86504.23,0,organic,2018,GreatLakes
10,1/14/2018,1.45,243959.31,5573.56,58518.98,0,179739.93,130909.33,48830.6,0,organic,2018,GreatLakes
11,1/7/2018,1.4,224698.1,8227.83,55921.31,0,160398.29,126158.83,34239.46,0,organic,2018,GreatLakes
0,3/25/2018,1.36,23169.17,371.93,239.04,9.87,22548.33,22545,3.33,0,organic,2018,HarrisburgScranton
1,3/18/2018,1.47,17815.44,791.32,428.09,6.63,16589.4,16589.4,0,0,organic,2018,HarrisburgScranton
2,3/11/2018,1.47,20504.66,393.48,267.87,22.22,19821.09,19811.09,10,0,organic,2018,HarrisburgScranton
3,3/4/2018,1.43,18968.96,659.11,396.33,20.94,17892.58,17889.25,3.33,0,organic,2018,HarrisburgScranton
4,2/25/2018,1.42,18414.33,330.05,369.57,5.01,17709.7,17706.37,3.33,0,organic,2018,HarrisburgScranton
5,2/18/2018,1.43,26996.61,3948.19,2895.75,15.24,20137.43,20134.1,3.33,0,organic,2018,HarrisburgScranton
6,2/11/2018,1.53,18314.18,217.6,254.81,20.89,17820.88,17798.66,22.22,0,organic,2018,HarrisburgScranton
7,2/4/2018,1.5,21055.52,322.53,300.03,6.03,20426.93,20329.15,97.78,0,organic,2018,HarrisburgScranton
8,1/28/2018,1.49,21849.91,409.5,280.03,19.17,21141.21,21137.86,3.35,0,organic,2018,HarrisburgScranton
9,1/21/2018,1.59,15829.03,225.43,166.81,19.2,15417.59,15410.91,6.68,0,organic,2018,HarrisburgScranton
10,1/14/2018,1.45,23826.74,175.52,199.52,5.07,23446.63,23446.63,0,0,organic,2018,HarrisburgScranton
11,1/7/2018,1.51,21095.12,208.15,312.97,13.01,20560.99,20550.99,10,0,organic,2018,HarrisburgScranton
0,3/25/2018,2.09,20242.65,144.4,10949.63,0,9148.62,9137.73,10.89,0,organic,2018,HartfordSpringfield
1,3/18/2018,1.88,31736.66,537.35,22724.89,0,8474.42,8472.87,1.55,0,organic,2018,HartfordSpringfield
2,3/11/2018,2.15,17722.27,147.46,8428.14,2.8,9143.87,9143.87,0,0,organic,2018,HartfordSpringfield
3,3/4/2018,1.9,27608.16,622.71,19631.02,0,7354.43,7354.43,0,0,organic,2018,HartfordSpringfield
4,2/25/2018,2.05,15721.06,213.6,7229.28,0,8278.18,8278.18,0,0,organic,2018,HartfordSpringfield
5,2/18/2018,1.48,49348.86,1201.04,40277.25,8.4,7862.17,7566.48,295.69,0,organic,2018,HartfordSpringfield
6,2/11/2018,2.1,11883.93,23.95,4455.68,8.38,7395.92,7389.71,6.21,0,organic,2018,HartfordSpringfield
7,2/4/2018,1.94,17404.84,142.97,8510.44,15.34,8736.09,8736.09,0,0,organic,2018,HartfordSpringfield
8,1/28/2018,1.9,18973.89,468.61,10161.69,2.79,8340.8,8340.8,0,0,organic,2018,HartfordSpringfield
9,1/21/2018,2.12,12308.98,97.64,4096.79,1.39,8113.16,8079.06,34.1,0,organic,2018,HartfordSpringfield
10,1/14/2018,2.02,14448.86,122.85,4410.11,0,9915.9,9911.02,4.88,0,organic,2018,HartfordSpringfield
11,1/7/2018,2.03,15204.66,76.07,4721.42,1.4,10405.77,10405.77,0,0,organic,2018,HartfordSpringfield
0,3/25/2018,1.31,36999.72,8247.81,67.33,0,28684.58,28094.58,590,0,organic,2018,Houston
1,3/18/2018,1.07,30564.4,7515.02,138.75,0,22910.63,22467.29,443.34,0,organic,2018,Houston
2,3/11/2018,1.26,40506.15,8456.51,165.94,0,31883.7,31440.37,443.33,0,organic,2018,Houston
3,3/4/2018,1.37,28699.66,6442.57,67.11,0,22189.98,21933.32,256.66,0,organic,2018,Houston
4,2/25/2018,1.41,25590.99,5721.05,68.95,0,19800.99,19544.33,256.66,0,organic,2018,Houston
5,2/18/2018,1.41,31029.02,6697.58,149.14,0,24182.3,24082.3,100,0,organic,2018,Houston
6,2/11/2018,1.4,24385.65,5208.72,60.53,0,19116.4,19029.73,86.67,0,organic,2018,Houston
7,2/4/2018,1.43,27155.44,10163.94,216.52,0,16774.98,16644.99,129.99,0,organic,2018,Houston
8,1/28/2018,1.45,26854.2,10288.17,114.77,0,16451.26,16394.59,56.67,0,organic,2018,Houston
9,1/21/2018,1.41,32722.61,7335.69,43.11,0,25343.81,25100.48,243.33,0,organic,2018,Houston
10,1/14/2018,1.49,35522.77,11013.42,108.93,0,24400.42,23953.75,446.67,0,organic,2018,Houston
11,1/7/2018,1.38,30428.43,9238.55,61.24,0,21128.64,20778.64,350,0,organic,2018,Houston
0,3/25/2018,1.28,9506.07,319.39,1427.13,0,7685.05,3437.74,4247.31,0,organic,2018,Indianapolis
1,3/18/2018,1.2,17377.59,384.68,3856.94,0,13122.54,7412.71,5709.83,0,organic,2018,Indianapolis
2,3/11/2018,1.22,15216.33,341.99,3553.23,0,11298.11,8448.16,2849.95,0,organic,2018,Indianapolis
3,3/4/2018,1.23,10713.61,283.05,1481.74,0,8706.42,6217,2489.42,0,organic,2018,Indianapolis
4,2/25/2018,1.45,9345.93,256.43,1278.39,0,7761.04,4655.23,3105.81,0,organic,2018,Indianapolis
5,2/18/2018,1.34,7478.79,230.01,1110.05,0,6084.89,3988.42,2096.47,0,organic,2018,Indianapolis
6,2/11/2018,1.34,8377.74,280.47,939.13,0,7105.49,5468.35,1637.14,0,organic,2018,Indianapolis
7,2/4/2018,1.36,9773.21,275.47,1302.43,0,8144.5,5633.86,2510.64,0,organic,2018,Indianapolis
8,1/28/2018,1.4,8935.85,205.04,1254.73,0,7455.25,4711.37,2743.88,0,organic,2018,Indianapolis
9,1/21/2018,1.48,9495.46,281.81,1266.88,0,7884.46,4149.72,3734.74,0,organic,2018,Indianapolis
10,1/14/2018,1.46,13651.18,221.76,1861.23,0,11544.01,8183.14,3360.87,0,organic,2018,Indianapolis
